Profesor	Id. Asignatura	Horas	Resp	Asignatura
Anonimizado 71	160	0		Estructuras de Datos Avanzadas
Anonimizado 71	313	10		Trabajo Fin de Grado
Anonimizado 71				
Anonimizado 71				
Anonimizado 71				
Anonimizado 71				
Anonimizado 71				
Anonimizado 72	21	60		Fundamentos de Diseño de Software
Anonimizado 72	25	60		Programación Orientada a Objetos
Anonimizado 72	126	30		Programación Orientada a Objetos
Anonimizado 72	148	0		Introducción a la Programación
Anonimizado 72				
Anonimizado 72				
Anonimizado 72				
Anonimizado 72				
Anonimizado 72				
Anonimizado 72				
Anonimizado 72				
Anonimizado 72				
Anonimizado 73	64	60	1	Interacción Persona-Ordenador
Anonimizado 73	34	30		Interacción Persona-Ordenador
Anonimizado 73	173	60	1	Informática y Competencia Digital Docente
Anonimizado 73	174	60	1	Informática y Competencia Digital Docente
Anonimizado 73	191	20		Principios Jurídicos Básicos, Deontología Profesional e Igualdad
Anonimizado 73				
Anonimizado 73				
Anonimizado 73				
Anonimizado 73				
Anonimizado 73				
Anonimizado 73				
Anonimizado 73				
Anonimizado 74	86	60	1	Arquitectura e Ingeniería de Computadores
Anonimizado 74	19	60	1	Arquitectura de Computadores
Anonimizado 74	187	60	1	Física para Videojuegos
Anonimizado 74				
Anonimizado 74				
Anonimizado 74				
Anonimizado 74				
Anonimizado 74				
Anonimizado 74				
Anonimizado 74				
Anonimizado 74				
Anonimizado 74				
Anonimizado 75	38	25		Gráficos por Computador
Anonimizado 75	181	25		Informática y Competencia Digital Docente
Anonimizado 75	183	30		Informática y Competencia Digital Docente
Anonimizado 75	293	36	1	Lenguajes Formales
Anonimizado 75	128	8		Teoría de Autómatas y Lenguajes Formales
Anonimizado 75				
Anonimizado 75				
Anonimizado 75				
Anonimizado 75				
Anonimizado 75				
Anonimizado 75				
Anonimizado 75				
Anonimizado 76	181	45	1	Informática y Competencia Digital Docente
Anonimizado 76	183	40	1	Informática y Competencia Digital Docente
Anonimizado 76	38	35	1	Gráficos por Computador
Anonimizado 76	128	36	1	Teoría de Autómatas y Lenguajes Formales
Anonimizado 76	293	24		Lenguajes Formales
Anonimizado 76	158	0		Teoría de Autómatas y Lenguajes Formales
Anonimizado 76				
Anonimizado 76				
Anonimizado 76				
Anonimizado 76				
Anonimizado 76				
Anonimizado 76				
Anonimizado 77	12	60	1	Estructuras de Datos (Grupo 1)
Anonimizado 77	36	60	1	Programación Concurrente
Anonimizado 77	313	120		Trabajo Fin de Grado
Anonimizado 77				
Anonimizado 77				
Anonimizado 77				
Anonimizado 77				
